riscv,uopc,iq,fu,category,token,medium_ports,hw_units,demand,prior_w_mA
CUSTOM1_RD_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2_RD,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2_RD_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM2_RD_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3_RD,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3_RD_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM3_RD_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
